#taxaorder:a1277,a1263,a2457,a2091,a2455,a337,a336,a53,a54,a297,a55,a10,a205,a22,a109_con,a324,a33,a38,a323,a28,a5,a120,a59,a334_con,a20_con,a339,a14,a13,a82,a124,a355,a31,a76,a130,a1,a73,a78,a4,a313,a318,a208,a212,a36,a127,a61,a214,a71,a159,a8,a169,a40,a173,a354,a304_con,a51_con,a358,a344,a52,a1244,a1242
19,20,21,22,6,4,5,2,2,2,2,9,10,15,23,24,16,16,16,14,13,11,11,8,25,25,26,26,26,17,17,18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,29,7,7,3,3,3,1,12,12
13,14,17,18,3,15,16,2,2,2,2,7,8,9,9,9,9,9,9,9,9,10,10,6,25,26,23,24,24,11,11,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,21,21,22,1,19,20
1,1,1,1,1,9,10,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,6,15,15,16,16,16,7,7,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,4,4,11,11,12,2,1,1
17,17,17,17,9,11,12,2,2,2,2,13,14,15,15,15,15,15,15,15,15,16,16,6,20,21,10,10,10,7,7,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,1,18,19
10,10,10,10,9,12,13,2,2,2,2,14,15,16,16,16,16,16,16,16,16,17,17,6,11,11,18,19,19,7,7,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,1,10,10
7,7,7,7,6,25,26,2,2,2,2,8,9,23,23,23,23,23,23,24,22,10,10,4,18,18,19,19,19,20,21,5,12,12,12,12,12,12,12,12,12,12,12,14,15,15,16,17,13,11,11,11,3,3,27,27,28,1,7,7
1,1,1,1,1,15,16,17,18,18,18,9,10,11,11,11,11,11,11,11,11,12,12,6,5,5,5,5,5,7,7,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,4,4,3,3,3,2,1,1
10,10,10,10,9,7,8,2,2,2,2,5,6,12,12,12,12,12,12,12,13,19,20,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,18,15,16,14,1,11,11
9,9,9,9,8,5,6,2,2,2,2,13,14,14,14,14,14,14,14,14,14,14,14,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,11,11,12,1,10,10
7,7,7,7,6,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,7,7
1,1,1,1,1,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,3,3,3,2,1,1
10,10,10,10,9,7,8,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,2,2,2,1,10,10
6,6,6,6,5,7,8,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,6,6
1,1,1,1,1,3,4,10,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,5,5,6,2,1,1
8,9,9,9,7,4,5,3,3,3,3,10,11,14,14,14,14,14,14,14,15,12,12,6,21,21,22,22,22,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,18,2,2,2,1,19,20
20,20,20,20,15,2,2,3,3,3,3,6,7,12,12,12,12,12,12,12,13,8,8,5,11,11,14,16,17,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,18,18,19,1,21,21
15,15,15,15,8,9,10,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,7,7,7,7,7,11,11,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,14,2,2,2,1,16,16
15,15,15,15,11,6,7,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,12,13,14,9,9,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,4,4,2,2,2,1,16,16
17,18,21,22,9,6,7,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,11,12,13,14,15,15,19,20,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,1,16,16
1,1,1,1,1,7,8,4,4,4,4,15,15,15,15,15,15,15,15,15,15,15,15,16,10,10,11,12,12,13,14,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,3,3,2,1,1
13,15,16,16,9,6,7,3,3,3,3,19,20,20,20,20,20,20,20,20,20,20,20,14,11,12,8,8,8,17,17,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,1,10,10
1,1,1,1,1,8,9,14,15,15,15,16,17,18,18,18,18,18,18,18,18,18,18,7,10,11,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,13,3,3,3,2,1,1
12,12,12,12,11,6,7,2,2,2,2,8,9,20,20,20,20,20,20,20,21,10,10,5,14,14,15,15,15,13,13,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,16,16,17,1,18,19
12,12,12,12,11,5,6,19,20,20,20,7,8,9,9,9,9,9,9,9,9,10,10,4,21,22,13,14,14,17,17,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,3,3,2,2,2,1,12,12
16,16,16,16,10,14,15,3,3,3,3,6,7,8,8,8,8,8,8,8,8,9,9,5,11,11,18,19,19,12,12,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,21,2,2,2,1,17,17
16,17,18,18,10,13,14,2,2,2,2,6,7,8,8,8,8,8,8,8,8,9,9,5,21,22,11,11,11,19,20,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,24,25,23,1,15,15
14,17,18,18,8,11,12,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,7,10,10,15,16,16,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,1,13,13
14,14,14,14,10,6,7,16,17,17,17,11,12,13,13,13,13,13,13,13,13,13,13,8,5,5,5,5,5,18,19,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,15,15
21,21,21,21,10,6,7,3,3,3,3,11,12,17,17,17,17,17,17,17,18,13,13,8,14,14,19,20,20,15,16,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,1,22,22
1,1,1,1,1,7,8,4,4,4,4,12,13,14,14,14,14,14,14,14,14,14,14,9,16,17,15,18,19,10,10,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,3,3,2,1,1
17,17,17,17,16,14,15,3,3,3,3,10,11,12,12,12,12,12,12,12,12,13,13,7,6,6,6,6,6,8,8,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,1,18,18
14,15,15,15,11,9,10,26,27,27,27,6,7,18,18,18,18,18,18,18,19,8,8,4,22,23,12,13,13,24,25,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16,17,2,2,2,1,20,21
20,21,21,21,13,11,12,2,2,2,2,7,8,9,9,9,9,9,9,9,9,10,10,5,15,15,22,23,23,18,19,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,16,16,17,1,14,14
23,24,24,24,12,10,11,3,3,3,3,7,8,9,9,9,9,9,9,9,9,9,9,5,13,13,14,15,15,21,22,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,20,4,4,2,2,2,1,17,18
13,22,23,23,11,9,10,17,18,18,18,8,14,15,15,15,15,15,15,15,15,16,16,5,19,19,20,21,21,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,12,12
17,18,18,18,11,9,10,3,3,3,3,8,13,14,14,14,14,14,14,14,14,15,15,6,19,20,16,16,16,21,22,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,1,12,12
20,21,21,21,11,9,10,14,15,15,15,8,12,18,18,18,18,18,18,18,19,13,13,5,23,24,22,25,26,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,16,17
20,20,20,20,12,10,11,3,3,3,3,9,13,14,14,14,14,14,14,14,14,16,17,6,15,15,18,19,19,7,7,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,1,21,21
16,17,17,17,10,8,9,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,12,12,12,6,6,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,4,4,2,2,2,1,13,13
9,9,9,9,8,6,7,2,2,2,2,12,13,14,14,14,14,14,14,14,14,15,15,11,19,20,10,10,10,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,17,18,16,1,9,9
8,8,8,8,7,5,6,3,3,3,3,10,11,12,12,12,12,12,12,12,12,13,13,9,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,4,4,2,2,2,1,8,8
13,13,13,13,12,3,4,11,17,18,16,6,7,8,8,8,8,8,8,8,8,9,9,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,20,14,15,10,1,13,13
12,12,12,12,11,6,7,3,3,3,3,9,10,10,10,10,10,10,10,10,10,10,10,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,1,12,12
7,7,7,7,6,4,5,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,2,2,2,1,7,7
10,10,10,10,9,4,5,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,12,2,2,2,1,10,10
10,10,10,10,9,4,5,3,3,3,3,7,8,12,12,12,12,12,12,12,12,13,13,6,16,16,17,18,18,14,14,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,20,2,2,2,1,10,10
16,16,16,16,9,3,4,2,2,2,2,7,8,11,11,11,11,11,11,11,11,12,12,6,13,13,13,13,13,14,14,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,19,20,18,1,17,17
